Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-4.50375802895216,-5.8766670190147,-3.13084903888962,1.8036683258060293e-12,0.38602280276702006,7.324267713034392,6.109356725146199,3.4
Light,KO B,1.53217399970103,0.141414195337515,2.92293380406455,0.02760183566216945,0.6741956413772161,12.791962891860377,12.145288753799392,8
Dark,KO A,-6.06577223851417,-7.33770614247201,-4.79383833455633,4.440892098500626e-16,0.46606414564909504,8.84294541594957,14.450439882697948,16.8
Dark,KO B,-3.75397023330651,-5.02837559379471,-2.47956487281832,1.9832491204851976e-10,0.6158919963369522,11.685729006557096,16.762241887905606,18.3
Light,WT,NA,NA,NA,1,0.2989201287068353,8.020868731577641,10.61311475409836,8.7
Dark,WT,NA,NA,NA,1,0.23033039709834366,6.180413102357001,20.51621212121212,20.3
