Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,nr4a2a KO,7.04644329402742,5.10175905170578,8.99112753634905,1.4876988529977098e-14,0.7433457162222306,14.10399331314854,21.987426900584794,19.5
Light,nr4a2b KO,1.52284618067667,-0.447123202564716,3.49281556391805,0.15750314195758086,0.8102899355132536,15.37417056799703,16.463829787234044,10.6
Dark,nr4a2a KO,7.17530791788856,5.64703970035593,8.7035761354212,-1.7763568394002505e-15,0.6533017957638741,12.395530044551906,15.32258064516129,10.6
Dark,nr4a2b KO,5.09844998659158,3.56721223703012,6.62968773615304,5.520028878436278e-13,0.7743072941763623,14.691447950876016,13.245722713864307,7
Light,WT,NA,NA,NA,1,0.42102817505867873,11.297371438486646,14.940983606557378,11
Dark,WT,NA,NA,NA,1,0.18457199330045349,4.952586285149398,8.147272727272727,7
