Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-337.908930112166,-429.180442210552,-246.637418013779,5.3290705182007514e-15,26.7052104537839,506.6957425685753,785.1763157894737,695.95
Light,KO B,-10.5636653545268,-103.02190638049,81.8945756714367,0.9572518333039908,38.48529845883931,730.2071973678006,1112.5215805471125,1028.8
Dark,KO A,-485.724765395895,-567.681099947499,-403.76843084429,1.3322676295501878e-15,32.02683819256036,607.6665296529665,1307.06568914956,1448.2
Dark,KO B,-317.003138911236,-399.118720352637,-234.887557469836,5.3290705182007514e-15,37.565469452624505,712.754669062633,1475.7873156342182,1689.7
Light,WT,NA,NA,NA,1,22.587794600923946,606.0941302736242,1123.0852459016394,1049.9
Dark,WT,NA,NA,NA,1,15.175187078868376,407.19299855551384,1792.7904545454546,1820.75
