Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-1.23018973165652,-2.83792157628058,0.377542112967547,0.20390914935613957,0.5932103458966951,11.255374947659256,31.12748538011696,32.650000000000006
Light,KO B,-2.24946842484338,-3.87810429355927,-0.620832556127491,0.008399186918168988,0.6961505401435953,13.208527807261452,30.108206686930092,32.7
Dark,KO A,1.81291300097752,0.633520874216923,2.99230512773811,0.005025516149266718,0.44236440828580836,8.393274515854895,27.921700879765396,27.6
Dark,KO B,-0.843301153124163,-2.02498492126994,0.338382615021615,0.20390914935613957,0.5772668932403051,10.95286920269173,25.265486725663717,26
Light,WT,NA,NA,NA,1,0.34487036395978965,9.253842926870199,32.357675111773474,33
Dark,WT,NA,NA,NA,1,0.2036869785809362,5.465495162862204,26.10878787878788,26.5
