Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,7371.221213022983,3685.6106065114914,36.55516751624945,3.4877670375688056e-16,Light_Genotype
1339,135002.32490865138,100.82324489070305,NA,NA,Light_Residuals
2,20129.08830993992,10064.54415496996,98.8014760695829,9.560930279711438e-41,Dark_Genotype
1337,136195.2884764391,101.86633393899709,NA,NA,Dark_Residuals
