Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-5.73394776060868,-7.6390798608047,-3.82881566041266,1.1543010991488245e-10,0.7353929786751209,13.953100727454096,37.23684210526316,40.25
Light,KO B,-0.717294425142356,-2.64719740205751,1.2126085517728,0.6360680429854155,0.7889794920598052,14.969833332430303,42.25349544072948,46.9
Dark,KO A,-4.25285923753665,-5.70383205323399,-2.80188642183932,2.450080138771682e-10,0.6065981520864812,11.509390710255001,42.372140762463346,46.400000000000006
Dark,KO B,-4.59727138643068,-6.05106354378528,-3.14347922907607,2.3280932737179683e-11,0.7061909203383882,13.399030627198995,42.02772861356932,46.5
Light,WT,NA,NA,NA,1,0.41149705320396324,11.041624602058913,42.970789865871836,46.199999999999996
Dark,WT,NA,NA,NA,1,0.21385503780853127,5.738332822447963,46.625,47.8
