Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-244.709937162828,-322.885832301211,-166.534042024445,1.2560471181662553e-11,20.179101832261164,382.87153755853376,232.15906432748537,90.75
Light,KO B,16.3726398470731,-62.8197126071473,95.5649923012935,0.8673767429604318,34.77523904065412,659.8137692716548,493.241641337386,244.3
Dark,KO A,-468.362766373411,-548.598924937471,-388.126607809352,1.7763568394002505e-15,31.1958396846844,591.89944155043,791.692082111437,822.2
Dark,KO B,-319.208830785733,-399.600893817342,-238.816767754125,8.215650382226158e-15,34.284783656684105,650.5080326474286,940.846017699115,1108.8
Light,WT,NA,NA,NA,1,19.333435154519947,518.770502929089,476.86900149031294,285.2
Dark,WT,NA,NA,NA,1,16.392093359224493,439.84602053698615,1260.0548484848484,1271.4499999999998
