Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,28527800.396517422,14263900.198258711,37.55550879041608,1.3517272799483017e-16,Light_Genotype
1339,508563536.4988704,379808.4663919868,NA,NA,Light_Residuals
2,58860215.170445286,29430107.585222643,96.79130660764696,5.521934557644365e-40,Dark_Genotype
1337,406524668.5938838,304057.34375010006,NA,NA,Dark_Residuals
