Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light,KO A,-93.198992949338,-130.810592594812,-55.587393303864,3.1905796049613855e-7,13.118257876152956,248.9014429325183,553.0172514619883,565.8499999999999
Light,KO B,-26.9363052015999,-65.0369377587191,11.1643273555193,0.3705546423070068,16.553965254494425,314.0894070689477,619.2799392097264,646.3
Dark,KO A,-17.3619990224829,-44.6333046510873,9.90930660612147,0.3705546423070068,9.742407829394281,184.8491918108583,515.3736070381232,498.2
Dark,KO B,2.20569187449712,-25.118603808211,29.5299875572052,0.9783562619846936,13.208593011287931,250.61543161111206,534.9412979351032,560.1
Light,WT,NA,NA,NA,1,8.25555989506736,221.51991741229978,646.2162444113263,637.7
Dark,WT,NA,NA,NA,1,5.0636414845863795,135.87175887867718,532.7356060606061,535.95
