Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,15999200.33513584,7999600.16756792,28.709683512617985,6.186937603676027e-13,Light_Genotype
1339,373095879.6416452,278637.6995083235,NA,NA,Light_Residuals
2,55775772.16372565,27887886.081862826,95.69404129487869,1.440972282333333e-39,Dark_Genotype
1337,389638719.26523036,291427.61351176543,NA,NA,Dark_Residuals
