Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,1631269.7008782579,815634.8504391289,3.6876191596508514,0.025808420262916774,Light_1_Genotype
440,97320064.42530684,221181.96460297008,NA,NA,Light_1_Residuals
2,18781440.133957148,9390720.066978574,32.57339851367907,6.82559898718599e-14,Dark_1_Genotype
427,123101599.81974052,288294.1447769099,NA,NA,Dark_1_Residuals
2,9459259.272272808,4729629.636136404,17.9170367571769,3.2265301866237346e-8,Light_2_Genotype
457,120636061.25318374,263973.8758275355,NA,NA,Light_2_Residuals
2,24881222.095696215,12440611.047848107,41.933240185205186,1.904457696733225e-17,Dark_2_Genotype
457,135581205.35776016,296676.5981570244,NA,NA,Dark_2_Residuals
2,9318256.482512247,4659128.241256123,13.553797558304487,1.947151172251196e-6,Light_3_Genotype
436,149875332.3154832,343750.76219147525,NA,NA,Light_3_Residuals
2,15584410.193269437,7792205.096634719,28.496013476189674,2.2492724154908504e-12,Dark_3_Genotype
447,122231682.7266416,273448.9546457306,NA,NA,Dark_3_Residuals
