Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,2091.684808522316,1045.842404261158,5.768670865052592,0.0033649685525797214,Light_1_Genotype
440,79770.65577838513,181.2969449508753,NA,NA,Light_1_Residuals
2,1184.0330662540855,592.0165331270427,7.529799960578313,6.11216265417638e-4,Dark_1_Genotype
427,33572.0817244436,78.6231422118117,NA,NA,Dark_1_Residuals
2,1117.2337789224725,558.6168894612363,3.807946721189435,0.022901217101542946,Light_2_Genotype
457,67040.83254716448,146.69766421699012,NA,NA,Light_2_Residuals
2,2227.919666081923,1113.9598330409615,11.639202259960912,1.1740529365237193e-5,Dark_2_Genotype
457,43738.36216000503,95.70757584246178,NA,NA,Dark_2_Residuals
2,6585.691981135319,3292.8459905676596,20.140451866787885,4.304114479383097e-9,Light_3_Genotype
436,71283.44792774851,163.4941466232764,NA,NA,Light_3_Residuals
2,4835.991442796442,2417.995721398221,22.322608240070764,5.748441249055967e-10,Dark_3_Genotype
447,48419.25620164799,108.32048367259058,NA,NA,Dark_3_Residuals
