Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light_1,KO A,-3.37868921145382,-5.74815364308403,-1.00922477982362,0.004592816644739206,0.725432043980081,7.946709888499402,20.793419599967986,17.616731517509727
Light_1,KO B,-1.91248934949696,-4.25992265473187,0.434943955737946,0.1415236109098035,0.9441889978551598,10.343072253469359,22.25961946192485,19.953525641025642
Dark_1,KO A,-8.21284036993961,-10.9748756921136,-5.45080504776564,4.4930246190233445e-10,0.9729356402840595,10.657975943686228,32.63175150975377,34.5285131103784
Dark_1,KO B,-8.0794017283856,-10.7821018861947,-5.37670157057653,4.4930246190233445e-10,1.174608689287512,12.867193507286943,32.76519015130778,33.96414342629482
Light_2,KO A,-7.35152515885378,-9.81486676779636,-4.88818354991119,4.4930246190233445e-10,0.46838760255697937,5.13092911152444,18.99504765853587,17.353629976580795
Light_2,KO B,-2.2684915851167,-4.71096054798116,0.173977377747767,0.08817713496630986,0.9949873470376261,10.899540288094578,24.078081232272947,21.46382756980583
Dark_2,KO A,-10.9261719962825,-13.4789939246082,-8.37335006795668,-2.6645352591003757e-15,0.882933908704471,9.672056371672914,27.647259879971415,27.68582375478927
Dark_2,KO B,-4.95336111661777,-7.52039263490717,-2.38632959832837,6.891805003198366e-5,1.1134504321697114,12.197238367264537,33.6200707596361,36.92607003891051
Light_3,KO A,-5.94157354376991,-8.78224576100038,-3.10090132653943,1.587714174067223e-5,0.702652256168622,7.6971698157090565,19.278893184815338,16.64990901104418
Light_3,KO B,2.01983970183327,-0.988231079966602,5.02791048363313,0.24190166120922763,1.1284698753104905,12.361768123451954,27.240306430418514,24.158508158508162
Dark_3,KO A,-7.93618612688499,-10.3498783926199,-5.52249386115009,1.194710996799131e-11,0.859321137038419,9.413391417938604,28.369528108412876,28.96586459630668
Dark_3,KO B,-3.3472514539934,-5.81005973851168,-0.884443169475119,0.006700274303645948,1.1297429384137736,12.37571383102787,32.95846278130447,34.899193548387096
Light_1,WT,NA,NA,NA,1,0.5704447542532719,8.837292132617218,24.17210881142181,21.382165132165134
Dark_1,WT,NA,NA,NA,1,0.5551768411021071,8.60076263915401,40.844591879693375,39.57254901960784
Light_2,WT,NA,NA,NA,1,0.6861704744521813,10.63010728085016,26.346572817389646,23.078039927404717
Dark_2,WT,NA,NA,NA,1,0.5819328413361072,9.015264812423625,38.57343187625387,38.14539900780612
Light_3,WT,NA,NA,NA,1,0.7867168574287692,12.187765148009031,25.220466728585247,21.106547619047618
Dark_3,WT,NA,NA,NA,1,0.49522044397647486,7.671922128889321,36.30571423529787,36.2118320610687
