Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,3118.003314233341,1559.0016571166705,8.26587984034677,2.992056510614092e-4,Light_1_Genotype
440,82987.01921398335,188.60686184996217,NA,NA,Light_1_Residuals
2,2526.2634714056594,1263.1317357028297,15.078999410943625,4.701012082364472e-7,Dark_1_Genotype
427,35768.7692960362,83.76760959259063,NA,NA,Dark_1_Residuals
2,1893.9000217131656,946.9500108565828,6.2675110681555415,0.0020640284688645512,Light_2_Genotype
457,69047.52943480859,151.08868585297284,NA,NA,Light_2_Residuals
2,5644.458679549397,2822.2293397746985,26.2188210648082,1.6616937433728134e-11,Dark_2_Genotype
457,49192.09773349404,107.64135171442896,NA,NA,Dark_2_Residuals
2,8912.009103191987,4456.004551595994,26.10318986005823,1.9611124077245777e-11,Light_3_Genotype
436,74428.37426810639,170.70728043143666,NA,NA,Light_3_Residuals
2,6177.096813795453,3088.5484068977266,25.17548411471794,4.3607192555769476e-11,Dark_3_Genotype
447,54838.31538620451,122.68079504743737,NA,NA,Dark_3_Residuals
