Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light_1,nr4a2a KO,-5.12972872384418,-8.66045044669717,-1.59900700099119,0.004992701792949639,1.2385225259863206,13.567334509219721,37.33177570093458,38.8
Light_1,nr4a2b KO,-3.1269589702333,-6.62485227181758,0.370934331350976,0.11733800969467811,1.4797503903298694,16.20985336521488,39.334545454545456,41.6
Dark_1,nr4a2a KO,-0.920035778175311,-3.28627674882928,1.44620519247865,0.7308026869024267,0.8396454495535227,9.197855060540608,44.88461538461539,47.150000000000006
Dark_1,nr4a2b KO,-3.99564215378169,-6.3110505750495,-1.68023373251388,6.380306946408787e-4,1.1191734974968437,12.259931406819456,41.80900900900901,44.8
Light_2,nr4a2a KO,-3.57613100938518,-6.67222178890825,-0.480040229862108,0.029879567064170554,1.1167310055807191,12.233175248439748,40.09391304347826,42.3
Light_2,nr4a2b KO,0.0655491674755453,-3.00430748892302,3.13540582387411,0.99846242155639,1.379888887214997,15.115925407567117,43.735593220338984,50.150000000000006
Dark_2,nr4a2a KO,-5.1844012605042,-7.66237084103159,-2.70643167997681,2.3594338676158344e-5,1.0358426324351149,11.347087516204898,41.19327731092437,46.2
Dark_2,nr4a2b KO,-3.06143925518926,-5.5532017804148,-0.569676729963711,0.0212505895973811,1.207633144693493,13.228958290790526,43.31623931623932,48.3
Light_3,nr4a2a KO,-8.35647553516819,-11.6032913250951,-5.10965974524127,4.0434188930404957e-7,1.398310953821108,15.31772903628771,34.41416666666667,38.849999999999994
Light_3,nr4a2b KO,0.930347897175039,-2.50780017648327,4.36849597083335,0.855113345321446,1.1804367094776866,12.931036269762025,43.7009900990099,48
Dark_3,nr4a2a KO,-6.32714548661707,-8.97731261421852,-3.67697835901563,1.2359919678850417e-6,1.1990432333754293,13.134860526873078,41.34661016949153,46.2
Dark_3,nr4a2b KO,-6.78546736782031,-9.489562521072,-4.08137221456862,4.3980038277879885e-7,1.3344092659293434,14.617721117868225,40.88828828828829,47.5
Light_1,WT,NA,NA,NA,1,0.7651941787993664,11.854337244419225,42.46150442477876,46.599999999999994
Dark_1,WT,NA,NA,NA,1,0.4025951482136992,6.236977217182255,45.8046511627907,47.5
Light_2,WT,NA,NA,NA,1,0.6546745388630414,10.14217434481032,43.67004405286344,46.2
Dark_2,WT,NA,NA,NA,1,0.3924856683581434,6.080361828704707,46.377678571428575,47.55
Light_3,WT,NA,NA,NA,1,0.7152198284692306,11.080137938154623,42.77064220183486,45.550000000000004
Dark_3,WT,NA,NA,NA,1,0.2992834809124495,4.636479749475609,47.6737556561086,48.6
