Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
KO A,0.26788662736655766,-0.7663403547061678,1.3021136094392831,0.8006298937252192,0.3746016247830707,10.051616369961792,29.52693997071742,29.2
KO B,-1.6084545409556554,-2.650327217104258,-0.5665818648070526,0.002358393524128255,0.46015769700680587,12.347326690523634,27.65059880239521,28.5
WT,NA,NA,NA,1,0.21684065985535592,8.228524493721148,29.259053343350864,28.4
