Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
KO A,-353.70966083031834,-419.4685808400427,-287.950740820594,-1.3322676295501878e-15,21.289602807848805,571.2599891078439,511.5159590043924,219.9
KO B,-144.83145815806404,-211.0765118636497,-78.58640445247838,2.3577730368096184e-6,25.784194037897937,691.862527365415,720.3941616766467,492.95
WT,NA,NA,NA,1,16.348684944143464,620.3889740639521,865.2256198347108,881.4
