Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
nr4a2a KO,-7.315956539152637,-8.529653512988173,-6.102259565317103,2.220446049250313e-16,0.3718575930853045,9.977986273058361,24.53019613415776,20.489855072463772
nr4a2b KO,-2.9989723887451376,-4.221641818263628,-1.776302959226647,1.0167958230944407e-7,0.4722924802953067,12.672937094427429,28.84718028456526,25.570752788955527
WT,NA,NA,NA,1,0.3099012617335852,11.759926042057323,31.846152673310396,31.75776397515528
