Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
nr4a2a KO,-5.249949454004243,-6.284984123382544,-4.214914784625942,1.0880185641326534e-14,0.33998675318265226,9.122801898790241,10.273792093704246,7
nr4a2b KO,-1.035418194415076,-2.0781045288312914,0.007268140001139178,0.05197039199086173,0.4639850509704621,12.450025374163896,14.488323353293413,13.8
WT,NA,NA,NA,1,0.22953765797380074,8.710341695735044,15.52374154770849,16.8
