Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
nr4a2a KO,7.087681517325892,5.811444929467227,8.363918105184558,3.1086244689504383e-15,0.5098773100212424,13.681443904706793,18.659882869692535,14.5
nr4a2b KO,3.2584872703878496,1.9728158924025003,4.544158648373199,3.632007261611392e-8,0.5629798948385341,15.106335777895744,14.830688622754492,8
WT,NA,NA,NA,1,0.2471996369972189,9.380566676136457,11.572201352366642,8.4
