Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
KO A,-4.982062826637687,-6.1940618519886925,-3.7700638012866823,5.10702591327572e-15,0.4858923509781773,13.03785991841269,39.800732064421666,43.8
KO B,-2.643872735370728,-3.8648316640395945,-1.4229138067018612,2.9746962106891317e-6,0.5286133675353518,14.184185083489528,42.138922155688626,46.6
WT,NA,NA,NA,1,0.23727818644502172,9.004074098884317,44.78279489105935,47.2
